title,cost,description,art,type,play,discard,Starting_Qty,Available Base,Available Per Player,Total_Qty
Aspirator,3,Collects imps from the portal,.\res\graphics\Aspirator.png,Fixed,"+1 Imp
+1 Dispenser","+2 Credits OR
+1 Sell",1,2,2,10
Aspirator,3,Collects imps from the portal,.\res\graphics\Aspirator.png,Fixed,"+1 Imp
+1 Dispenser","+2 Credits OR
+1 Sell",,,,
Aspirator,3,Collects imps from the portal,.\res\graphics\Aspirator.png,Fixed,"+1 Imp
+1 Dispenser","+2 Credits OR
+1 Sell",,,,
Aspirator,3,Collects imps from the portal,.\res\graphics\Aspirator.png,Fixed,"+1 Imp
+1 Dispenser","+2 Credits OR
+1 Sell",,,,
Aspirator,3,Collects imps from the portal,.\res\graphics\Aspirator.png,Fixed,"+1 Imp
+1 Dispenser","+2 Credits OR
+1 Sell",,,,
Aspirator,3,Collects imps from the portal,.\res\graphics\Aspirator.png,Fixed,"+1 Imp
+1 Dispenser","+2 Credits OR
+1 Sell",,,,
Basic Tube,0,,.\res\graphics\Basic_Tube_Straight.png,Tube,+ 1 Credit,+ 1 Credit,4,12,,10
Basic Tube,0,,.\res\graphics\Basic_Tube_Straight.png,Tube,+ 1 Credit,+ 1 Credit,,,,
Basic Tube,0,,.\res\graphics\Basic_Tube_Straight.png,Tube,+ 1 Credit,+ 1 Credit,,,,
Basic Tube,0,,.\res\graphics\Basic_Tube_Straight.png,Tube,+ 1 Credit,+ 1 Credit,,,,
Basic Tube,0,,.\res\graphics\Basic_Tube_Straight.png,Tube,+ 1 Credit,+ 1 Credit,,,,
Basic Tube,0,,.\res\graphics\Basic_Tube_Bend.png,Tube,+ 1 Credit,+ 1 Credit,3,12,,10
Basic Tube,0,,.\res\graphics\Basic_Tube_Bend.png,Tube,+ 1 Credit,+ 1 Credit,,,,
Basic Tube,0,,.\res\graphics\Basic_Tube_Bend.png,Tube,+ 1 Credit,+ 1 Credit,,,,
Basic Tube,0,,.\res\graphics\Basic_Tube_Bend.png,Tube,+ 1 Credit,+ 1 Credit,,,,
Basic Tube,0,,.\res\graphics\Basic_Tube_Bend.png,Tube,+ 1 Credit,+ 1 Credit,,,,
Splitter,3,One copy of the imp goes to each discharge,.\res\graphics\Splitter_Left.png,Tool,+ 1 Dispenser,"+1 Recipe OR
+1 Sell",1,0,1,4
Splitter,3,One copy of the imp goes to each discharge,.\res\graphics\Splitter_Left.png,Tool,+ 1 Dispenser,"+1 Recipe OR
+1 Sell",,,,
Splitter,3,One copy of the imp goes to each discharge,.\res\graphics\Splitter_Right.png,Tool,+ 1 Dispenser,"+1 Recipe OR
+1 Sell",1,0,1,4
Splitter,3,One copy of the imp goes to each discharge,.\res\graphics\Splitter_Right.png,Tool,+ 1 Dispenser,"+1 Recipe OR
+1 Sell",,,,
Splitter,3,One copy of the imp goes to each discharge,.\res\graphics\Splitter_Mid.png,Tool,+ 1 Dispenser,"+1 Recipe OR
+1 Sell",1,2,1,4
Splitter,3,One copy of the imp goes to each discharge,.\res\graphics\Splitter_Mid.png,Tool,+ 1 Dispenser,"+1 Recipe OR
+1 Sell",,,,
Combiner,4,,.\res\graphics\Combiner_Left.png,Tube,+ 1 Buy,+3 Lab Cards,0,0,1,4
Combiner,4,,.\res\graphics\Combiner_Left.png,Tube,+ 1 Buy,+3 Lab Cards,,,,
Combiner,4,,.\res\graphics\Combiner_Right.png,Tube,+ 1 Buy,+3 Lab Cards,0,0,1,4
Combiner,4,,.\res\graphics\Combiner_Right.png,Tube,+ 1 Buy,+3 Lab Cards,,,,
Combiner,4,,.\res\graphics\Combiner_Mid.png,Tube,+ 1 Buy,+3 Lab Cards,0,2,1,4
Combiner,4,,.\res\graphics\Combiner_Mid.png,Tube,+ 1 Buy,+3 Lab Cards,,,,
Activator,5,Discard the imp and use the imp's ability,.\res\graphics\Activator.png,Tool,+1 Lab Card,"Trash a card, gain a card of same value +3",0,4,2,8
Activator,5,Discard the imp and use the imp's ability,.\res\graphics\Activator.png,Tool,+1 Lab Card,"Trash a card, gain a card of same value +3",,,,
Activator,5,Discard the imp and use the imp's ability,.\res\graphics\Activator.png,Tool,+1 Lab Card,"Trash a card, gain a card of same value +3",,,,
Activator,5,Discard the imp and use the imp's ability,.\res\graphics\Activator.png,Tool,+1 Lab Card,"Trash a card, gain a card of same value +3",,,,
Activator,5,Discard the imp and use the imp's ability,.\res\graphics\Activator.png,Tool,+1 Lab Card,"Trash a card, gain a card of same value +3",,,,
Activator,5,Discard the imp and use the imp's ability,.\res\graphics\Activator.png,Tool,+1 Lab Card,"Trash a card, gain a card of same value +3",,,,
